index,genres,id,keywords,original_language,original_title,popularity,tagline,title,vote_average,vote_count,cast,director
515,Comedy Romance,1824,deja vu amnesia hawaii ladykiller romantic comedy,en,50 First Dates,61.437586,Imagine having to win over the girl of your dreams... every friggin' day.,50 First Dates,6.6,2105,Adam Sandler Drew Barrymore Rob Schneider Sean Astin Lusia Strus,Peter Segal
516,Family Comedy Music Romance,2976,races dream dance television tv show,en,Hairspray,31.160542,"When you follow your own beat, the world will follow you.",Hairspray,6.5,709,John Travolta Michelle Pfeiffer Christopher Walken James Marsden Queen Latifah,Adam Shankman
517,Horror Mystery Thriller,11026,secret obsession exorcism remake priest,en,Exorcist: The Beginning,15.761384,Go back to where the horror began.,Exorcist: The Beginning,4.7,183,Stellan Skarsg\u00e5rd Izabella Scorupco James D'Arcy Julian Wadham Remy Sweeney,Renny Harlin
518,Action Adventure Comedy Family,332,gadget,en,Inspector Gadget,17.561955,The greatest hero ever assembled.,Inspector Gadget,4.3,318,Matthew Broderick Rupert Everett Joely Fisher Michelle Trachtenberg Andy Dick,David Kellogg
519,Thriller Crime,75656,paris bank secret fbi vault,en,Now You See Me,71.124686,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,Now You See Me,7.3,5487,Jesse Eisenberg Mark Ruffalo Woody Harrelson M\u00e9lanie Laurent Isla Fisher,Louis Leterrier
520,Comedy,38365,overweight swing foot convertible arrow,en,Grown Ups,38.864027,Boys will be boys. . . some longer than others.,Grown Ups,6,1705,Adam Sandler Salma Hayek Maria Bello Steve Buscemi Maya Rudolph,Dennis Dugan
521,Comedy Drama,594,new york airport marriage proposal translation craftsman,en,The Terminal,57.753914,Life is waiting.,The Terminal,7,1910,Tom Hanks Catherine Zeta-Jones Stanley Tucci Chi McBride Diego Luna,Steven Spielberg
522,Comedy Family,15189,adoption puppy pitbull orphan foster home,en,Hotel for Dogs,13.25753,No stray gets turned away.,Hotel for Dogs,5.7,202,Emma Roberts Jake T. Austin Don Cheadle Johnny Simmons Kyla Pratt,Thor Freudenthal
523,Action Adventure Thriller,11678,himalaya pakistan climbing k2 mountaineering,en,Vertical Limit,13.318744,The Mountain Will Decide.,Vertical Limit,5.9,283,Chris O'Donnell Robin Tunney Bill Paxton Scott Glenn Izabella Scorupco,Martin Campbell
524,Comedy Drama History,6538,washington d.c. alcohol cia helicopter refugee camp,en,Charlie Wilson's War,18.70031,Based on a true story. You think we could make all this up?,Charlie Wilson's War,6.5,338,Tom Hanks Philip Seymour Hoffman Julia Roberts Amy Adams Om Puri,Mike Nichols
525,Animation Action Comedy Family,10555,fish hero mission of murder threat to death secret love,en,Shark Tale,47.094369,The story of what happens when one little fish tells a great white lie...,Shark Tale,5.8,1557,Will Smith Robert De Niro Ren\u00e9e Zellweger Jack Black Angelina Jolie,Vicky Jenson
526,Drama,1125,music record manager black people adultery soul,en,Dreamgirls,14.486311,One Dream Will Change Everything,Dreamgirls,6.6,284,Jamie Foxx Beyonc\u00e9 Knowles Eddie Murphy Danny Glover Jennifer Hudson,Bill Condon
527,Comedy Crime,4551,baseball bat widow recording contract recording studio russian mafia,en,Be Cool,18.61472,Everyone is looking for the next big hit,Be Cool,5.4,292,John Travolta Uma Thurman Vince Vaughn Cedric the Entertainer Andr\u00e9 Benjamin,F. Gary Gray
528,Drama Action History Thriller,612,paris assassination israel hotel room 1970s,en,Munich,29.035222,The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,Munich,6.9,696,Eric Bana Daniel Craig Ciar\u00e1n Hinds Mathieu Kassovitz Hanns Zischler,Steven Spielberg
529,Action Drama War,9567,u.s. army nigeria president,en,Tears of the Sun,27.055085,He was trained to follow orders. He became a hero by defying them.,Tears of the Sun,6.4,573,Bruce Willis Monica Bellucci Cole Hauser Eamonn Walker Johnny Messner,Antoine Fuqua
530,Action Comedy Thriller Romance,37821,assassin,en,Killers,23.004607,Perfect wife. Perfect target.,Killers,5.7,772,Katherine Heigl Ashton Kutcher Tom Selleck Catherine O'Hara Alex Borstein,Robert Luketic
531,Comedy Action Adventure,203801,spy cold war remake based on tv series buddy cop,en,The Man from U.N.C.L.E.,48.744209,Saving the world never goes out of style.,The Man from U.N.C.L.E.,7.1,2265,Henry Cavill Armie Hammer Alicia Vikander Elizabeth Debicki Luca Calvani,Guy Ritchie
532,Comedy,2539,upper class mother single parent parents kids relationship wife husband relationship,en,Spanglish,14.209329,Every family has a hero.,Spanglish,5.8,369,Adam Sandler T\u00e9a Leoni Paz Vega Cloris Leachman Shelbie Bruce,James L. Brooks
533,Animation Comedy Family Fantasy,9297,monster secret toy children neighbor,en,Monster House,36.368839,The House is . . . ALIVE!,Monster House,6.3,874,Ryan Newman Steve Buscemi Mitchel Musso Sam Lerner Spencer Locke,Gil Kenan
534,Action Comedy Crime Romance,3172,prison,en,Bandits,24.353302,"Two's company, three's a crime.",Bandits,6.2,302,Bruce Willis Billy Bob Thornton Cate Blanchett Troy Garity William Converse-Roberts,Barry Levinson
535,Action Adventure Drama Romance,6520,camelot knight king arthur excalibur knights of the round table,en,First Knight,19.143321,Their greatest battle would be for her love.,First Knight,5.9,311,Sean Connery Richard Gere Julia Ormond Ben Cross Liam Cunningham,Jerry Zucker
537,Fantasy Action Drama,37958,poison army zeus poseidon spear,en,Immortals,37.917002,The Gods need a hero.,Immortals,5.7,880,Mickey Rourke Kellan Lutz Isabel Lucas Henry Cavill Luke Evans,Tarsem Singh
538,Mystery Drama Thriller Crime,2026,fbi kidnapping police operation home invasion hostage situation,en,Hostage,23.663713,Every Second Counts,Hostage,6.2,512,Bruce Willis Kevin Pollak Jimmy Bennett Michelle Horn Ben Foster,Florent-Emilio Siri
539,Animation Action Science Fiction Family Adventure,7450,monster galaxy dystopia space alien,en,Titan A.E.,14.44381,"When Earth Ends, The Adventure Begins.",Titan A.E.,6.3,313,Matt Damon Bill Pullman Drew Barrymore John Leguizamo Nathan Lane,Gary Goldman
541,Action War Science Fiction,9425,space marine dystopia alien planet genetic engineering,en,Soldier,11.873856,"Left for dead on a remote planet for obsolete machines and people, a fallen hero has one last battle to fight",Soldier,6.1,221,Kurt Russell Jason Scott Lee Jason Isaacs Connie Nielsen Sean Pertwee,Paul W.S. Anderson
543,Adventure Fantasy Animation Action Comedy,23685,parallel world organ donation horniness agent aftercreditsstinger,en,Monkeybone,8.098369,"If It Yells, If It Swings, It's Got To Be Monkeybone!",Monkeybone,4.3,78,Brendan Fraser Bridget Fonda John Turturro Chris Kattan Giancarlo Esposito,Henry Selick
544,Action Adventure Drama Thriller,11866,robbery water gobi desert disaster airplane crash,en,Flight of the Phoenix,20.374308,"Out of the ashes, hope will rise.",Flight of the Phoenix,5.7,276,Dennis Quaid Tyrese Gibson Giovanni Ribisi Miranda Otto Hugh Laurie,John Moore
545,Science Fiction Thriller Drama,9741,father son relationship train accident comic book marriage crisis invulnerability,en,Unbreakable,42.006908,Some things are only revealed by accident.,Unbreakable,6.9,1946,Bruce Willis Samuel L. Jackson Robin Wright Spencer Treat Clark John Patrick Amedori,M. Night Shyamalan
546,Family Animation Adventure Comedy,211672,assistant aftercreditsstinger duringcreditsstinger evil mastermind minions,en,Minions,875.581305,"Before Gru, they had a history of bad bosses",Minions,6.4,4571,Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Kyle Balda
547,Action Fantasy Thriller,23629,brothel fantasy asylum reality escape,en,Sucker Punch,39.127082,You will be unprepared,Sucker Punch,5.9,1623,Emily Browning Abbie Cornish Jena Malone Vanessa Hudgens Jamie Chung,Zack Snyder
548,Crime Mystery,8688,casino political activism boxer mission of murder boxing match,en,Snake Eyes,20.790703,Believe everything except your eyes.,Snake Eyes,5.8,327,Nicolas Cage Gary Sinise John Heard Carla Gugino Tamara Tunie,Brian De Palma
549,Science Fiction,10153,ocean extraterrestrial technology space marine paranoia raumschiffabsturz,en,Sphere,18.65988,"A thousand feet beneath the sea, the blackest holes are in the mind...",Sphere,5.8,476,Dustin Hoffman Sharon Stone Samuel L. Jackson Peter Coyote Liev Schreiber,Barry Levinson
550,Family Animation,153518,island bird pig talking animal based on video game,en,The Angry Birds Movie,45.720894,Why so angry?,The Angry Birds Movie,5.9,1022,Jason Sudeikis Josh Gad Danny McBride Maya Rudolph Bill Hader,Fergal Reilly
551,Romance Comedy Adventure,8676,helicopter cemetery boat mexican standoff sword,en,Fool's Gold,21.789615,This February True Love Takes a Dive.,Fool's Gold,5.4,444,Matthew McConaughey Kate Hudson Donald Sutherland Ewen Bremner Alexis Dziena,Andy Tennant
552,Comedy Drama,20829,comedian cancer bromance stand-up comedian,en,Funny People,20.199057,"George Simmons was prepared to die, but then a funny thing happened.",Funny People,5.7,390,Adam Sandler Seth Rogen Leslie Mann Eric Bana Jonah Hill,Judd Apatow
553,Thriller Action Drama,4349,assassination assassin terrorist explosive fbi,en,The Kingdom,26.123705,How do you stop an enemy who isn't afraid to die?,The Kingdom,6.5,513,Jamie Foxx Jennifer Garner Chris Cooper Jason Bateman Ali Suliman,Peter Berg
554,Comedy,9718,north carolina prayer family dinner advertising divorce,en,Talladega Nights: The Ballad of Ricky Bobby,12.599836,The story of a man who could only count to #1,Talladega Nights: The Ballad of Ricky Bobby,6.2,491,Will Ferrell John C. Reilly Sacha Baron Cohen Gary Cole Michael Clarke Duncan,Adam McKay
555,Comedy Family Romance Fantasy,10808,veterinarian forest bear animal animal protection,en,Dr. Dolittle 2,13.543053,The doctor is in again.,Dr. Dolittle 2,4.9,410,Eddie Murphy Kristen Wilson Raven-Symon\u00e9 Kyla Pratt Mandy Moore,Steve Carr
556,Action Drama History War,197,individual scotland in love with enemy legend independence,en,Braveheart,60.722162,Every man dies. Not every man truly lives.,Braveheart,7.7,3336,Mel Gibson Catherine McCormack Sophie Marceau Patrick McGoohan Angus Macfadyen,Mel Gibson
557,Drama War,25,sniper marine corps saudi arabia petrol golf war,en,Jarhead,32.227223,Welcome to the suck.,Jarhead,6.6,765,Jamie Foxx Jake Gyllenhaal Scott MacDonald Lucas Black Peter Sarsgaard,Sam Mendes
558,Animation Comedy Family,35,father son relationship lake springfield the simpsons duff beer,en,The Simpsons Movie,46.875375,See our family. And feel better about yours.,The Simpsons Movie,6.9,2264,Dan Castellaneta Julie Kavner Nancy Cartwright Yeardley Smith Hank Azaria,David Silverman
559,Drama Romance,11086,california falsely accused prosecution anti-communism hollywood,en,The Majestic,11.215702,Sometimes your life comes into focus one frame at a time.,The Majestic,6.6,188,Jim Carrey Martin Landau Laurie Holden David Ogden Stiers Hal Holbrook,Frank Darabont
560,Action,10477,competition running career idol racing car,en,Driven,8.468586,Get ready for the race of your life.,Driven,4.5,179,Kip Pardue Robert Sean Leonard Til Schweiger Estella Warren Sylvester Stallone,Renny Harlin
561,Adventure Drama Family,1997,brother brother relationship loss of brother cambodia chase tiger,en,Deux frères,8.884318,"Two infant tiger cubs, separated from their parents and each other.",Two Brothers,6.9,180,Ma\u00ef Anh Le Guy Pearce Oanh Nguyen Jaran 'See Tao' Petcharoen St\u00e9phanie Lagarde,Jean-Jacques Annaud
562,Drama Mystery Thriller,6947,secret forest rural setting blindness courtship,en,The Village,27.491891,There is no turning back,The Village,6.2,1071,Bryce Dallas Howard Joaquin Phoenix Adrien Brody William Hurt Sigourney Weaver,M. Night Shyamalan
563,Comedy Family Fantasy,3050,talking to animals woman director,en,Doctor Dolittle,21.462935,He doesn't just talk to the animals!,Doctor Dolittle,5.4,686,Eddie Murphy Ossie Davis Oliver Platt Peter Boyle Richard Schiff,Betty Thomas
564,Drama Thriller Science Fiction Mystery,2675,symbolism water farm faith alien,en,Signs,28.848187,It’s not like they didn’t warn us.,Signs,6.4,1599,Mel Gibson Joaquin Phoenix Rory Culkin Abigail Breslin Cherry Jones,M. Night Shyamalan
565,Adventure Animation Comedy Family Fantasy,809,prison magic liberation honeymoon parents-in-law,en,Shrek 2,47.320801,Once upon another time...,Shrek 2,6.7,2988,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Andrew Adamson
566,Animation Adventure Comedy Family,920,car race car journey village and town auto route 66,en,Cars,82.643036,Ahhh... it's got that new movie smell.,Cars,6.6,3877,Owen Wilson Paul Newman Bonnie Hunt Larry the Cable Guy Tony Shalhoub,John Lasseter
567,Comedy Romance,4806,small town self-discovery just married reporter wedding,en,Runaway Bride,20.230535,Catch her if you can.,Runaway Bride,5.7,455,Julia Roberts Richard Gere Joan Cusack Rita Wilson H\u00e9ctor Elizondo,Garry Marshall
568,Action Adventure Thriller,7451,sports car biological weapon cold war russian prague,en,xXx,46.217769,A New Breed Of Secret Agent.,xXx,5.8,1424,Vin Diesel Asia Argento Samuel L. Jackson Danny Trejo Leila Arcieri,Rob Cohen
569,Animation Adventure Comedy Family,228165,ocean sea star water comedy,en,The SpongeBob Movie: Sponge Out of Water,36.952268,He's leaving his world behind.,The SpongeBob Movie: Sponge Out of Water,5.8,719,Tom Kenny Bill Fagerbakke Rodger Bumpass Clancy Brown Carolyn Lawrence,Paul Tibbitt
570,Action Thriller,3595,bounty loss of child yellow press fbi baby-snatching,en,Ransom,16.411345,Someone is going to pay.,Ransom,6.4,470,Mel Gibson Gary Sinise Delroy Lindo Rene Russo Lili Taylor,Ron Howard
571,Drama Action Thriller War,16869,paris guerrilla cinema self sacrifice dynamite,en,Inglourious Basterds,72.595961,Once upon a time in Nazi occupied France...,Inglourious Basterds,7.9,6430,Brad Pitt M\u00e9lanie Laurent Christoph Waltz Eli Roth Michael Fassbender,Quentin Tarantino
572,Adventure Fantasy Comedy Family,879,flying swordplay sword fantasy peter pan,en,Hook,33.648404,What if Peter Pan grew up?,Hook,6.6,1532,Robin Williams Dustin Hoffman Julia Roberts Bob Hoskins Maggie Smith,Steven Spielberg
573,Action Thriller,1573,ambush helicopter journalist based on novel airport,en,Die Hard 2,57.69847,Die Harder,Die Hard 2,6.6,1896,Bruce Willis Bonnie Bedelia William Atherton Reginald VelJohnson Franco Nero,Renny Harlin
574,Action Thriller Crime,9257,liberation transport of prisoners special unit weapon los angeles,en,S.W.A.T.,34.052253,You're either S.W.A.T. or you're not.,S.W.A.T.,5.8,770,Samuel L. Jackson Colin Farrell Michelle Rodriguez LL Cool J Josh Charles,Clark Johnson
575,Drama Mystery Romance Science Fiction Thriller,1903,amnesia ex-girlfriend virtual reality,en,Vanilla Sky,27.299301,"Forget everything you know, and open your eyes.",Vanilla Sky,6.5,1078,Tom Cruise Pen\u00e9lope Cruz Cameron Diaz Kurt Russell Jason Lee,Cameron Crowe
576,Drama Thriller Fantasy Mystery,9697,fortune teller religion and supernatural supernatural powers mythical creature hell,en,Lady in the Water,20.219385,Time is running out for a happy ending.,Lady in the Water,5.3,409,Paul Giamatti Jeffrey Wright Bob Balaban Sarita Choudhury Cindy Cheung,M. Night Shyamalan
577,Adventure Science Fiction Action,395,saving the world predator laserpointer space marine pyramid,en,AVP: Alien vs. Predator,42.957216,Whoever wins... We lose,AVP: Alien vs. Predator,5.5,1217,Sanaa Lathan Raoul Bova Ewen Bremner Colin Salmon Tommy Flanagan,Paul W.S. Anderson
578,Comedy Family Animation Fantasy Music,23398,chipmunk cgi based on tv series aftercreditsstinger duringcreditsstinger,en,Alvin and the Chipmunks: The Squeakquel,29.412262,The Boys are back in town... and they have competition.,Alvin and the Chipmunks: The Squeakquel,5.4,666,Zachary Levi David Cross Jason Lee Justin Long Matthew Gray Gubler,Betty Thomas
579,Action History War,10590,vietnam veteran missile vietnam war army major,en,We Were Soldiers,19.708731,400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.,We Were Soldiers,6.7,521,Mel Gibson Greg Kinnear Madeleine Stowe Sam Elliott Chris Klein,Randall Wallace
580,Action Thriller,117263,white house secret service terrorist attack,en,Olympus Has Fallen,59.428223,When our flag falls our nation will rise.,Olympus Has Fallen,6.2,2981,Gerard Butler Aaron Eckhart Angela Bassett Morgan Freeman Radha Mitchell,Antoine Fuqua
581,Science Fiction Action Adventure Thriller,200,space opera retribution spacecraft officer exploding ship,en,Star Trek: Insurrection,19.711951,The battle for paradise has begun.,Star Trek: Insurrection,6.3,391,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes
582,Action Science Fiction,44943,saving the world hero marine corps chaos retirement,en,Battle: Los Angeles,49.199234,It's not war. It's survival.,Battle: Los Angeles,5.5,1448,Aaron Eckhart Ram\u00f3n Rodr\u00edguez Will Rothhaar Cory Hardrict Jim Parrack,Jonathan Liebesman
583,Adventure Fantasy Drama,587,circus father son relationship witch fish fishing,en,Big Fish,46.199482,An adventure as big as life itself.,Big Fish,7.6,1994,Ewan McGregor Albert Finney Billy Crudup Jessica Lange Helena Bonham Carter,Tim Burton
584,Fantasy,10395,adultery heal bite werewolf,en,Wolf,13.758526,The animal is out.,Wolf,6,216,Jack Nicholson Christopher Plummer James Spader Michelle Pfeiffer Kate Nelligan,Mike Nichols
585,Drama War,57212,world war i horse farm life execution trapped,en,War Horse,29.505574,Separated by War. Tested by Battle. Bound by Friendship.,War Horse,7,992,Tom Hiddleston Benedict Cumberbatch Toby Kebbell Emily Watson Jeremy Irvine,Steven Spielberg
586,War Drama History Action,152760,world war ii nazis art theft post world war ii,en,The Monuments Men,43.873266,It was the greatest art heist in history,The Monuments Men,5.8,1523,Matt Damon Cate Blanchett George Clooney Bill Murray John Goodman,George Clooney
587,Adventure Action Thriller Science Fiction,2756,ocean sea diving suit flying saucer nuclear missile,en,The Abyss,24.961625,"There's everything you've ever known about adventure, and then there's The Abyss.",The Abyss,7.1,808,Ed Harris Mary Elizabeth Mastrantonio Michael Biehn Leo Burmester Todd Graff,James Cameron
588,Drama Crime,33909,duringcreditsstinger,en,Wall Street: Money Never Sleeps,23.25645,Gordon never gives up.,Wall Street: Money Never Sleeps,5.8,493,Michael Douglas Shia LaBeouf Josh Brolin Carey Mulligan Frank Langella,Oliver Stone
589,Horror Action Drama Fantasy War,49017,vampire dracula bite battle 15th century,en,Dracula Untold,64.457947,Every bloodline has a beginning,Dracula Untold,6.2,2389,Luke Evans Sarah Gadon Dominic Cooper Art Parkinson Charles Dance,Gary Shore
590,Drama Action Thriller Crime,9882,islam muslim car bomb fbi agent,en,The Siege,20.089933,On November 6th our freedom is history,The Siege,6,352,Denzel Washington Annette Bening Bruce Willis Tony Shalhoub Sami Bouajila,Edward Zwick
591,Adventure Fantasy Romance Family,2270,witch based on novel new love prince beauty,en,Stardust,48.032734,This Summer A Star Falls. The Chase Begins.,Stardust,7.1,1184,Claire Danes Charlie Cox Michelle Pfeiffer Robert De Niro Sienna Miller,Matthew Vaughn
592,Adventure Drama History,978,buddhism himalaya austria mountains buddhist monk,en,Seven Years in Tibet,16.92991,At the end of the world his real journey began.,Seven Years in Tibet,7,630,Brad Pitt Jamyang Jamtsho Wangchuk David Thewlis BD Wong Mako,Jean-Jacques Annaud
593,Comedy Drama,44564,adultery infidelity secret investigation friendship,en,The Dilemma,14.780634,Two best friends. Nothing could come between them... or could it?,The Dilemma,5.2,304,Kevin James Vince Vaughn Winona Ryder Jennifer Connelly Queen Latifah,Ron Howard
594,Action Adventure Comedy Thriller,3132,ambush cia assassin nightclub hustler,en,Bad Company,14.086292,Two Mismatched Partners. One Messed Up Case!,Bad Company,5.4,228,Anthony Hopkins Chris Rock Peter Stormare Gabriel Macht Kerry Washington,Joel Schumacher
595,Adventure Action Horror,8814,teleportation based on video game severed ear future war wisecrack humor,en,Doom,29.261348,No one gets out alive.,Doom,5,609,Dwayne Johnson Karl Urban Rosamund Pike Ben Daniels Deobia Oparei,Andrzej Bartkowiak
596,Action Adventure Comedy Thriller,8427,budapest kidnapping boxer secret agent liberation of hostage,en,I Spy,13.267631,Attitude meets espionage.,I Spy,5.2,269,Eddie Murphy Owen Wilson Famke Janssen Keith Dallas Malcolm McDowell,Betty Thomas
597,Fantasy Action Horror,52520,vampire daughter hybrid child vampire werewolf,en,Underworld: Awakening,58.401204,Vengeance Returns,Underworld: Awakening,6.1,1862,Kate Beckinsale Stephen Rea Michael Ealy Theo James India Eisley,M\u00e5ns M\u00e5rlind
598,Comedy Drama Music Romance,80585,musical rocker teenager young love rock sta,en,Rock of Ages,23.515938,Nothin' but a good time,Rock of Ages,6,385,Julianne Hough Diego Boneta Tom Cruise Alec Baldwin Russell Brand,Adam Shankman
599,Drama War,10592,black people world war ii prisoners of war u.s. army war,en,Hart's War,14.244518,"Beyond Courage, Beyond Honor.",Hart's War,5.9,241,Bruce Willis Colin Farrell Terrence Howard Marcel Iure\u0219 Cole Hauser,Gregory Hoblit
600,Action Adventure Thriller,49021,rescue,en,Killer Elite,29.501489,May the best man live.,Killer Elite,6.1,695,Jason Statham Clive Owen Robert De Niro Dominic Purcell Yvonne Strahovski,Gary McKendry
601,Action Science Fiction Thriller,11535,manager arena dystopia wrestling sport,en,Rollerball,9.306253,Go Ballistic,Rollerball,3.4,106,Chris Klein LL Cool J Rebecca Romijn Naveen Andrews Jean Reno,John McTiernan
603,Thriller,11258,sheriff rain evacuation armored car crook,en,Hard Rain,10.930537,"In the worst storm in living memory, one guard stands between five men and three million dollars.",Hard Rain,5.5,179,Morgan Freeman Christian Slater Randy Quaid Minnie Driver Ed Asner,Mikael Salomon
604,Adventure Animation Action Comedy Family,12610,cold flu lethal virus construction worker,en,Osmosis Jones,10.54544,Every BODY needs a hero,Osmosis Jones,5.9,228,Chris Rock Laurence Fishburne David Hyde Pierce Brandy Norwood Bill Murray,Bobby Farrelly
606,Crime Drama Mystery,201088,terrorist technology anti hero hacker computer virus,en,Blackhat,46.832372,We are no longer in control.,Blackhat,5.1,826,Chris Hemsworth Leehom Wang Tang Wei Viola Davis Holt McCallany,Michael Mann
607,Mystery Action Thriller Science Fiction Adventure,5137,london england himalaya journalist killer robot computer war,en,Sky Captain and the World of Tomorrow,24.664776,Who will save us?,Sky Captain and the World of Tomorrow,5.7,439,Jude Law Gwyneth Paltrow Giovanni Ribisi Angelina Jolie Bai Ling,Kerry Conran
608,Crime Mystery Thriller,3093,male nudity sex legs soho london playing god,en,Basic Instinct 2,13.483387,Everything interesting begins in the mind,Basic Instinct 2,4.6,180,Sharon Stone David Morrissey Charlotte Rampling David Thewlis Stan Collymore,Michael Caton-Jones
609,Action Thriller,107846,prison muslim ship mystery science fiction,en,Escape Plan,44.478043,No one breaks out alone.,Escape Plan,6.7,1659,Sylvester Stallone Arnold Schwarzenegger Jim Caviezel Vinnie Jones 50 Cent,Mikael H\u00e5fstr\u00f6m
610,Action Adventure,188207,mythology zeus ancient greece demigod city of argos,en,The Legend of Hercules,25.020428,Every Man Has a Destiny,The Legend of Hercules,4.4,533,Kellan Lutz Liam McIntyre Gaia Weiss Scott Adkins Roxanne McKee,Renny Harlin
611,Thriller Action Drama,4614,cia terrorist atomic bomb cold war nuclear explosion,en,The Sum of All Fears,22.392544,"27,000 nuclear weapons. One is missing.",The Sum of All Fears,5.9,437,Ben Affleck Morgan Freeman James Cromwell Ken Jenkins Liev Schreiber,Phil Alden Robinson
612,Adventure Fantasy Drama Romance,24021,vampire graduation bite immortality werewolf,en,The Twilight Saga: Eclipse,107.069763,It all begins ... With a choice.,The Twilight Saga: Eclipse,5.8,2301,Kristen Stewart Robert Pattinson Taylor Lautner Ashley Greene Peter Facinelli,David Slade
613,Action Crime Thriller,11371,quebec jewel scepter customs house jewelry heist,en,The Score,22.572323,There are no partners in crime,The Score,6.7,423,Robert De Niro Edward Norton Marlon Brando Angela Bassett Paul Soles,Frank Oz
614,Animation Family,20352,adoptive father orphanage life's dream rivalry stealing,en,Despicable Me,113.858273,Superbad. Superdad.,Despicable Me,7.1,6478,Steve Carell Jason Segel Russell Brand Julie Andrews Will Arnett,Pierre Coffin
615,Action Comedy Crime,11517,brother brother relationship subway new york city new york subway train robbery,en,Money Train,10.004564,"Get on, or GET OUT THE WAY!",Money Train,5.4,222,Wesley Snipes Woody Harrelson Jennifer Lopez Robert Blake Chris Cooper,Joseph Ruben
616,Comedy,214756,sperm bank sequel buddy courthouse teddy bear,en,Ted 2,68.734513,"Ted is Coming, Again.",Ted 2,6.2,2463,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Seth MacFarlane
617,Adventure Drama History,26428,christianity philosophy egypt new love war,en,Agora,18.888806,"Alexandria, Egypt. 391 A.D. The World Changed Forever.",Agora,6.9,395,Rachel Weisz Max Minghella Oscar Isaac Ashraf Barhom Michael Lonsdale,Alejandro Amen\u00e1bar
618,Adventure Fantasy Action Comedy Science Fiction,9824,bowling hostage sphinx training insane asylum,en,Mystery Men,12.948627,"We're not your classic heroes, we're the other guys.",Mystery Men,5.7,250,Ben Stiller Geoffrey Rush Claire Forlani William H. Macy Hank Azaria,Kinka Usher
619,Comedy,48988,wife husband relationship daydream marriage freedom friends,en,Hall Pass,27.11589,"One Week, No Rules",Hall Pass,5.4,611,Owen Wilson Jason Sudeikis Jenna Fischer Christina Applegate Nicky Whelan,Bobby Farrelly
620,Drama Thriller,9008,spy newspaper research interview tobacco,en,The Insider,26.153669,Two men driven to tell the truth... whatever the cost.,The Insider,7.3,481,Al Pacino Russell Crowe Christopher Plummer Diane Venora Bruce McGill,Michael Mann
621,Action Drama History Thriller,300673,coast guard based on true story survival rescue mission storm at sea,en,The Finest Hours,28.223664,"32 survivors, room for 12.",The Finest Hours,6.3,588,Chris Pine Casey Affleck Ben Foster Eric Bana Holliday Grainger,Craig Gillespie
622,Action Drama Thriller,12113,terror falsely accused based on novel dying and death jordan,en,Body of Lies,37.507136,Trust no one. Deceive everyone.,Body of Lies,6.5,895,Leonardo DiCaprio Russell Crowe Mark Strong Ali Suliman Simon McBurney,Ridley Scott
623,Comedy,38778,mouse idiot mind control taxidermy aftercreditsstinger,en,Dinner for Schmucks,11.023691,Takes One To Know One.,Dinner for Schmucks,5.5,531,Steve Carell Paul Rudd Stephanie Szostak Jemaine Clement Zach Galifianakis,Jay Roach
624,Action Fantasy Horror,72331,usa president vampire steam locomotive american civil war 19th century,en,Abraham Lincoln: Vampire Hunter,38.634767,Are you a patriot or a vampire?,Abraham Lincoln: Vampire Hunter,5.5,1269,Benjamin Walker Dominic Cooper Anthony Mackie Mary Elizabeth Winstead Rufus Sewell,Timur Bekmambetov
625,Romance Drama Mystery,1844,london england new year's eve skyscraper burglar distrust,en,Entrapment,25.877794,The trap is set.,Entrapment,6,602,Sean Connery Catherine Zeta-Jones Will Patton Maury Chaykin Ving Rhames,Jon Amiel
626,Mystery Science Fiction Thriller,846,bomb helicopter secret obsession extraterrestrial technology,en,The X Files,18.59991,Fight the Future,The X Files,6.6,488,David Duchovny Gillian Anderson Mitch Pileggi William B. Davis John Neville,Rob Bowman
627,Action Adventure Fantasy War,9703,roman empire emperor ancient rome western roman empire ancient world,en,The Last Legion,12.282911,The end of an empire...the beginning of a legend.,The Last Legion,5,207,Colin Firth Ben Kingsley Aishwarya Rai Bachchan Peter Mullan Kevin McKidd,Doug Lefler
628,Drama History War,857,war crimes self sacrifice war veteran world war ii war ship,en,Saving Private Ryan,76.041867,The mission is a man.,Saving Private Ryan,7.9,5048,Tom Hanks Matt Damon Vin Diesel Tom Sizemore Barry Pepper,Steven Spielberg
629,Action Crime Drama Thriller,136797,street race super cars super speed car based on video game,en,Need for Speed,54.81489,For honor. For love. For redemption.,Need for Speed,6.1,1520,Aaron Paul Dominic Cooper Imogen Poots Rami Malek Ram\u00f3n Rodr\u00edguez,Scott Waugh
630,Comedy Romance,3981,women telepathy supernatural powers advertising executive woman director,en,What Women Want,31.39165,He has the power to hear everything women are thinking. Finally... a man is listening.,What Women Want,6.1,992,Helen Hunt Mel Gibson Marisa Tomei Lauren Holly Mark Feuerstein,Nancy Meyers
